KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
lpsOverseers,Alien bugs can spread dangerous diseases,Alien Käfer verbreiten gefährliche Krankheiten,Les punaises Alien transmettent des maladies mortelles,Gli insetti alieni possono diffondere malattie pericolose,Los bichos alienígenas pueden contagiar peligrosas enfermedades,Percevejos alien pode espalhar doenças perigosas,Ervas alienígenas podem espalhar doenças perigosas,Egzotyczne robaki mogą rozprzestrzeniać niebezpieczne choroby,Инопланетные насекомые могут распространять опасные болезни,エイリアンバグは危険な病気を媒介します,外星昆虫会传染致命的疾病,外星臭蟲可以傳播危險疾病,외계 해충이 위험한 질병을 퍼뜨릴 수 있습니다.,Uzaylı böcekler tehlikeli hastalıklar yayılabilir,Τα εξωγήινα έντομα μπορούν να εξαπλώσουν επικίνδυνες ασθένειες,Buitenaardse insecten kunnen gevaarlijke ziektes verspreiden,Bọ Alien có thể lây lan bệnh dịch nguy hiểm
lpsOxygenSupply,Always be sure to have enough oxygen supply,Sorge immer für genügend Sauerstoffvorrat,Emportez avec vous suffisamment d'oxygène.,Assicurarti sempre di avere una sufficiente riserva di ossigeno!,Asegúrate siempre de tener suficiente suministro de oxígeno,Certifique de que tem sempre oxigénio em quantidade suficiente,Assegure-se de sempre ter suprimentos de oxigênio suficiente,"Zawsze upewnij się, że masz wystarczającą ilość tlenu",Убедитесь что имеете достаточные запасы кислорода,常に十分な酸素供給態勢を整えましょう。,时刻确保拥有充足的氧气供应,一定要保證隨時有充足的氧氣補給,항상 산소 공급이 충분한지 확인하십시오.,Her zaman yeterli oksijen kaynağınız olduğundan emin olun,Πάντα να είσαι σίγουρος ότι έχεις αρκετό απόθεμα οξυγόνου,Zorg er altijd voor dat je voldoende zuurstof voorraad hebt,Luôn luôn chắc chắn có đủ oxy cung cấp
lpsPassenger,Use passenger seats to give your buddy a ride,Verwende Passagiersitze um deinen Kumpel mitzunehmen,Utiliser le siège passager pour emmener vos amis en balade.,Sfrutta i sedili passeggeri per dare un passaggio ai tuoi amici.,Usa un asiento de pasajero para llevar a tu colega,Utilize os bancos do passageiro para dar uma boleia ao seu companheiro,Use assentos de passageiros para dar uma carona a seu amigo,"Używaj foteli pasażerskich, aby wziąć swoich kumpli na przejażdżkę",Используйте пассажирские места для перевозки других игроков,パッセンジャーシートを使用し、仲間と同じ船に乗ることができる,建造乘员座椅，载你伙伴一程吧,使用乘客座位來搭載夥伴,친구를 태워주려면 승객석을 사용하십시오.,Arkadaşınızı gezdirmek için yolcu koltukları kullanın,Χρησιμοποίησε την Θέση Επιβάτη για να πας τον φίλο σου μια βόλτα,Gebruik een passagiersstoel om een vriend een lift te geven,
lpsPlanetVessel,AI planet vessels can have devastating fire power,KI Planetenschiffe haben oft zerstörerische Feuerkraft,Les navires de la planète AI peuvent avoir une puissance de feu dévastatrice,Le Navi Planetarie (AI) possono avere una potenza di fuoco devastante!,Las naves planetarias de IA pueden tener un poder de fuego devastador,Naves do Planeta IA podem ter um poderio ofensivo devastador,As Naves da IA dos planetas podem ser devastadoras,Ciężkie krążowniki posiadają niszczącą siłę ognia,Суда планетарной разведки могут иметь разрушительную огневую мощь,キャピタルシップは壊滅的な火力を誇っている。,AI星球飞船往往拥有毁灭性的火力,AI星球飛船擁有毀滅性的強大火力,AI 행성 선체에는 치명적인 화력이 있을 수 있습니다.,AI gezegen gemileri yıkıcı ateş gücüne sahip olabilir,Τα σκάφη Τεχνιτής Νοημοσύνης μπορεί να έχουν καταστροφική δύναμη,AI planeet schepen kunnen vernietigende vuurkracht hebben,
lpsPortal,Portals connect you to hidden and mysterious worlds,Portale verbinden dich mit versteckten und mysteriösen Welten,Les portails vous connectent à des mondes cachés et mystérieux,I portali ti collegano a mondi nascosti e misteriosi...,Los portales te conectan a mundos escondidos y misteriosos,Os portais ligam-no a mundos ocultos e misteriosos,Portais o conectam a mundos escondidos e misteriosos,Portale połączone są z ukrytymi i mistycznymi światami,Порталы соединяют вас со скрытыми и таинственными мирами,ポータルは隠された未知なる世界へと繋がっています。,传送门里等待你的是一个隐藏的神秘世界,傳送門能讓你前往隱藏與神秘星球,포털은 숨겨진 신비의 세계로 연결시켜 드립니다.,Portallar sizi gizli ve gizemli dünyalara bağlar,Οι πύλες σε συνδέουν με κρυμμένους και παράξενους κόσμους,Portalen kunnen een connectie maken met verborgen en misterieuze werelden,
lpsPrepareForNight,Be prepared for the night,Bereit dich auf die Nacht vor,Préparez-vous pour la nuit.,Preparati bene per sopravvivere durante la notte!,Prepárate para la noche,Esteja preparado para a noite,Esteja preparado para a noite,Przygotuj się na noc,Будьте готовы к ночи.,過酷な夜に向け備えましょう,需为过夜做好充分准备,做好充分準備迎接夜晚,밤에 대비하십시오.,Gece için hazırlıklı olun,Προετοιμάσου για την Νύχτα,Wees voorbereid op de nacht,Hãy chuẩn bị kĩ lưỡng cho ban đêm
lpsRadiatedFog,Be sure to find shelter when radiated fog is appearing,Finde Unterschlupf sobald verstrahlter Nebel aufzieht,Pensez à trouver un abri lorsque le brouillard radioactif fait son apparition,In caso di nebbia irradiata assicurati di trovare un riparo,Asegúrate de encontrar refugio cuando aparezca la niebla radiactiva,Certifique-se de que encontra abrigo para quando aparecer nevoeiro irradiado,Certifique-se de encontrar abrigo quando a névoa radioativa aparecer,"Pamiętaj, aby znaleźć schronienie, gdy pojawi się radioaktywna mgła","Не забудьте найти убежище, когда появляется радиационный туман",放射性物質を含む霧に備えシェルターを探しておこう。,辐射雾发生时务必找个庇护所呆着,當輻射霧出現時一定要找好避難所,방사된 안개가 나타나면 대피소를 찾으십시오.,Radyasyonlu Sis göründüğünde barınak bulduğunuzdan emin olun,Σιγουρέψου ότι θα βρεις ένα καταφύγιο όταν εμφανιστεί η ομίχλη ακτινοβολίας,Zorg dat je beschutting vindt wanneer er radioactieve mist verschijnt,Hãy chắc chắn tìm thấy nơi trú ẩn trước khi bức xạ sương mù xuất hiện
lpsRadiation,Radiation is merciless,Strahlung kennt keine Gnade,Les radiations sont impitoyables,Le radiazioni sono spietate,La radiación es despiadada,A radiação é impiedosa,A radiação é implacável,Promieniowanie jest bezlitosne,Радиация беспощадна,放射線は容赦なく降り注ぎます。,辐射无情，活动需谨慎,輻射十分無情,방사선은 무자비합니다.,Radyasyon acımasızdır,Η ακτινοβολία είναι ανελέητη,Straling is medogenloos,Phóng xạ rất tàn nhẫn
lpsRadiation2,Radiated fog can be deadly,Verstrahlter Nebel kann tödlich sein,Le brouillard radioactif peut être mortel,La nebbia irradiata può essere letale,La niebla radiactiva puede ser mortal,O nevoeiro irradiado pode ser mortífero,A névoa radioativa pode ser mortal,Radioaktywna mgła jest śmiertelna,Радиоактивный туман может быть смертельным,放射性物質を含む霧は無防備に浴び続ければ死に至る。,辐射雾致命,輻射霧可以致命,방사된 안개는 치명적일 수 있습니다.,Radyasyonlu Sis ölümcül olabilir,Η ακτινοβολούμενη ομίχλη μπορεί να είναι θανατηφόρα,Radio actieve mist kan dodelijk zijn,Sương mù bức xạ có thể gây chết người
lpsRain,The weather can change fast on temperate planets,Das Wetter kann sehr schnell wechseln,La météo peut changer rapidement sur les planètes tempérées,Il clima può cambiare velocemente sui pianeti temperati.,El clima puede cambiar rápidamente en los planetas templados,O tempo pode mudar rapidamente em planetas temperados,O clima pode mudar rapidamente em planetas temperados,"Na umiarkowanych planetach, pogoda może szybko ulec zmianie",Погода может быстро изменяться на умеренных планетах,温暖な惑星の気候は変わりやすいでしょう,宜居星球天气也变化频繁,天氣在氣候溫和的星球也可能迅速變化,온화한 행성에서 날씨가 빠르게 변할 수 있습니다.,Hava ılıman gezegenlerde hızlı değişebilir,Ο καιρός μπορεί να αλλάξει γρήγορα σε εύκρατους πλανήτες,Het weer kan snel veranderen op gematigde planeten,Thời tiết có thể thay đổi nhanh chóng trên các hành tinh ôn hoà
lpsRaptors,Raptors are fast and deadly predators,Raptoren sind schnelle und tödliche Raubtiere,Les raptors sont des prédateurs rapides et mortels.,I Raptor sono predatori veloci e letali,Los Velociraptores son depredadores rápidos y mortales,As aves de rapina são os predadores mais rápidos e mortíferos,Raptors são predadores rápidos e mortais,Raptory to szybkie i śmiertelnie niebezpieczne drapieżniki,Ящеры очень быстрые и смертельно опасные хищники.,ラプターは素早く、危険な捕食者です,盗龙类生物是一种迅捷并致命的捕食者,迅猛龍是快速而致命的掠食者,랩터는 빠르고 치명적인 육식 동물입니다.,Raptorlar hızlı ve ölümcül yırtıcılardır,Οι Ράπτορες είναι γρήγοροι και θανατηφόροι θηρευτές,Raptors zijn snelle en dodelijke tegenstanders,
lpsResourceAsteroids,Asteroids provide you with valuable resources,Asteroiden liefern wertvolle Rohstoffe,Les astéroïdes fournissent de précieuses ressources.,Gli asteroidi sono ricchi di risorse preziose,Los asteroides contienen valiosos recursos,Os asteroides oferecem recursos valiosos,Asteroides podem oferecer recursos valiosos,Asteroidy dostarczają cennych zasobów,Астероиды предоставят вам ценные ресурсы.,アステロイドは貴重な資源をもたらしてくれます,小行星可为你提供有价值的资源,小行星會為你提供貴重資源,소행성은 귀중한 자원을 제공합니다.,Asteroitler değerli kaynaklar sağlar,Οι αστεροειδής σου παρέχουν πολύτιμους πόρους,Astroides voorzien je van waardevolle middelen,Các tiểu hành tinh cung cấp cho bạn nguồn tài nguyên có giá trị
lpsSpaceDrone,Be sure to loot the wreckage of space drones after destruction,Denk dran die Wrackteile von zerstörten Weltraumdrohnen zu durchsuchen,N'oubliez pas de ramasser les débris de drones après destruction,Assicurati di saccheggiare i rottami dei droni spaziali dopo averli eliminati,Asegúrate de saquear los restos de los drones espaciales después de su destrucción,Certifique-se de pilhar os destroços dos drones do espaço após destruição,Certifique-se de saquear os destroços dos drones espaciais após destruí-los,Pamiętaj o sprawdzeniu wraku drony po jej zniszczeniu,Обязательно забирайте всё нужное из обломков космических дронов после уничтожения,破壊したドローンの残骸から部品を回収しましょう,在太空中击毁无人机务必去搜刮其残骸,要記得摧毀太空無人機後在殘骸中獲取戰利品,파괴된 우주 드론의 잔해에서 전리품을 획득하십시오.,Yok edildikten sonra uzay dronelarının enkazını yağmalamayı unutmayın,Σιγουρέψου ότι θα λεηλατήσεις τα συντρίμμια των διαστημοπλοίων μετά την καταστροφή,Zorg ervoor dat je het wrak van ruimtedrones na vernietiging plundert,Hãy chắc chắn cướp các mảnh vỡ của máy bay không người lái không gian sau khi đã bị phá huỷ
lpsSpaceNebula,Space nebula can be of stunning beauty,Weltraum Nebel sind oft von atemberaubender Schönheit,Les nébuleuses de l'espace peuvent être d'une beauté stupéfiante ,Alcune nebulose spaziali sono di una bellezza stupefacente,La nebulosa espacial puede ser de una belleza extraordinaria,Nebulosa espacial pode ter uma beleza impressionante,A nebulosa do espaço pode ser de uma beleza deslumbrante,Piękno kosmicznej mgławicy może zaprzeć dech w piersiach,Космическая туманность может быть ошеломляющей красоты,フィールドは素晴らしく美しい,太空星云难道不是惊世骇俗的美景么,太空星雲無比絢麗,우주 성운의 아름다움은 경이로울 수 있습니다.,Uzay nebulası muhteşem güzellikte olabilir,Το διαστημικό νεφέλωμα μπορεί να έχει εκπληκτική ομορφιά,Ruimte nevel kan prachtig mooi zijn,Không gian tinh vân có thể có vẻ đẹp mê hồn
lpsStrangePlants,Watch out for strange plants on lava planets,Halte Ausschau nach seltsamen Pflanzen auf Lavaplaneten,Méfiez-vous des plantes étranges sur les planètes de lave,Fai attenzione alle strane piante presenti sui pianeti lavici,Pon atención a las extrañas plantas en los planetas de lava,Tenha cuidado com plantas estranhas em planetas lava,Cuidado com plantas estranhas em planetas de lava,Uważaj na dziwne rośliny na wulkanicznych planetach,Остерегайтесь странных растений на планетах лавы,溶岩の惑星に存在する奇妙な植物に注意してください,小心熔岩星球上那些奇怪的植物,當心熔岩星球上的奇怪植物,용암 행성에 있는 이상한 식물을 조심하십시오.,Lav gezegenlerindeki tuhaf bitkilere dikkat edin,Έχε τον νου σου για παράξενα φυτά σε πλανήτες λάβας,Pas op voor rare planten op lava planeten,Coi chừng các loài cây lạ trên hành tinh nham thạch
lpsSurvivalConstructor,The oxygen generator is your life insurance,Der Sauerstoffgenerator ist deine Lebensversicherung,Le générateur O2 est votre assurance-vie.,Il generatore di ossigeno è la tua assicurazione sulla vita,El generador de oxígeno es tu seguro de vida,O gerador de oxigénio é o seu seguro de vida,O gerador de oxigênio é sua garantia de vida,Generator tlenu jest Twoim ubezpieczeniem na życie,Генератор кислорода поможет вам выжить.,酸素生成装置は生命線です,氧气制造机是你生命的保证,氧氣生成器是你的生命保障,산소 발생기는 생명 보험과 같은 역할을 합니다.,Oksijen jeneratörü hayat sigortanızdır,Η γεννήτρια οξυγόνου είναι η ασφάλεια ζωής σου,De zuurstof generator is van levensbelang,"Máy tạo oxy là ""bảo hiểm nhân thọ"" của bạn"
lpsTemperatePlanetAtmo,Temperate planets often have a breathable atmosphere,Gemäßigte Planeten haben oft eine atembare Atmosphäre,L'atmosphère des planètes tempérées est souvent respirable,I pianeti temperati spesso hanno un'atmosfera respirabile,Los planetas templados suelen tener una atmósfera respirable,Planetas temperados têm frequentemente uma atmosfera respirável,Planetas temperados muitas vezes têm uma atmosfera respirável,Umiarkowane planety mają często sprzyjającą atmosferę,Планеты с умеренным климатом часто имеют атмосферу пригодную для дыхания,温帯の惑星は、多くの場合、呼吸のできる大気を持っています,宜居星球通常都有可呼吸大气,氣候溫和的星球通常有著可呼吸的大氣,온화한 행성은 종종 호흡할 수 있는 환경을 가지고 있습니다.,Ilıman gezegenler genellikle solunabilen bir atmosfere sahiptir,Οι εύκρατοι πλανήτες έχουν συχνά μια αναπνεύσιμη ατμόσφαιρα,Op gematigde planeten kun je vaak ademen,
lpsTradingStation,Trading stations are entertaining places,Handelsstationen sind unterhaltsame Orte,Les stations commerciales sont des endroits amusants,Le Stazioni Commerciali sono luoghi ricchi di intrattenimento,Las Estaciones Comerciales son también lugares de entretenimiento,Postos de comércio são lugares de entretenimento,As estações de troca são lugares de entretenimento,Stacje Handlowe są miejscem rozrywki,Торговые станции это развлекательные площадки,マーケットを使用して希少資源等を入手しよう。,交易中心往往是安全的娱乐场所,貿易站是娛樂場所,거래소는 흥미로운 장소입니다.,Ticaret Merkezleri eğlenceli yerlerdir,Οι Σταθμοί Εμπορίου είναι χώροι ψυχαγωγίας,Handelsstations zijn leuke plaatsen,
lpsTroopTransport,Alien troop transports can bring deadly reinforcement,Alien Truppentransporter können tödlichen Nachschub liefern,Les transports de troupes Alien amènent de dangereux renforts.,I Trasporti Truppe Alieni possono schierare rinforzi in caso di allarme,Los transportadores de tropas alienígena pueden traer refuerzos mortales,Transportes de tropas alien podem originar um reforço letal,Transportes de tropas Aliens podem trazer reforços mortais,Transportowce desantowe mogą zapewnić dodatkowe wsparcie dla obcych,Транспорт инопланетян может привезти смертоносное подкрепление.,敵の兵員輸送船は苛烈な増援をもたらすでしょう,外星运兵船会带来致命的援军,外星士兵運輸機可能會帶來十分難纏援軍,외계 부대 수송선은 생명을 앗아가는 치명적인 병력입니다.,"Uzaylı askeri nakil araçları, ölümcül takviyeler getirebilir",Τα Εξωγήινα οχήματα μεταφοράς στρατευμάτων μπορούν να φέρουν θανάσιμη ενίσχυση,Buitenaardse troepen transportschepen kunnen dodelijke versterking meebrengen,
lpsTurretDrill,Use your turret drill for asteroid mining,Verwende dein Bohrgeschütz um Rohstoffe in Asteroiden zu fördern,Utilisez votre tourelle de forage pour miner les astéroïdes.,La Torretta di Scavo ti permette di Estrarre minerali dagli asteroidi,Usa tu torreta de perforación para la minería de asteroides,Utilize a sua torre de perfuração para extração de asteroides,Use sua arma fixa de perfuração para minerar em asteroides,Użyj wieży wiertniczej do wydobywania surowców z asteroid,Используйте добывающие турели для разработки ископаемых на астероидах.,アステロイドの採掘にはドリルタレットを使いましょう,使用采矿炮台在小行星上采矿,使用炮臺鑽機進行小行星採礦,소행성 채굴을 위해 터렛 드릴을 사용하십시오.,Asteroid madenciliği için Sondaj Tareti kullanın,Χρησιμοποίησε το τρυπάνι σου για εξόρυξη αστεροειδών,Gebruik je boorkoepel voor astroide mijnbouw,Sử dụng trụ máy khoan để khai thác tiểu hành tinh
lpsUseSpotlights,Use spotlights to explore during night,Benutze Scheinwerfer für nächtliche Erkundungen,Utilisez les projecteurs pour explorer pendant la nuit,I Riflettori ti permettono di esplorare anche durante la notte,Usa luces para explorar durante la noche,Utilize holofotes para explorar durante a noite,Use a lanterna para explorar durante a noite,Używaj reflektorów do eksploracji nocą,Используйте прожекторы для исследования ночью,夜間の探索にはスポットライトが役に立ちます,打开聚光灯在夜晚继续探索吧,使用聚光燈在夜晚進行探索,밤에는 스포트라이트를 사용하여 탐사하십시오.,Gece keşif yapmak için spot ışıklarını kullanın,Χρησιμοποίησε προβολείς για να εξερευνήσεις την νύχτα,Gebruik schijnwerpers om 's nachts te verkennen,Sử dụng đèn pha để khám phá trong đêm
lpsWellEquipped,Be well equipped in your base,Sei gut ausgerüstet in deiner Basis,Équipez entièrement votre base,Assicurati di avere tutta l'attrezzatura necessaria all'interno della tua Base,Asegúrate de tener todo el equipo necesario en tu base,Esteja bem equipado na sua base,Tenha uma base bem equipada,Posiadaj dobrze wyposażoną bazę,Хорошо оснастите вашу базу.,基地(Base)の改良に終わりはない。,即使在基地里也要全副武装,在基地中帶齊裝備,기지를 잘 정비해 두십시오.,Üssünüzde iyi donanımlı olun,Να είσαι καλά εξοπλισμένος στη βάση σου,Zorg voor een goede uitrusting in je basis,Hãy trang bị tốt hơn cho cơ sở của bạn
lpsWreckage,Wreckage POIs can help you to stay alive in the beginning,Wrack POIs erhöhen deine Überlebenschance zu Beginn,L'épave POI peut vous aider à rester en vie au début du jeu,I PDI abbandonati possono aiutarti a sopravvivere nelle prime fasi di gioco.,Los restos en los PDI pueden ayudarte a sobrevivir al principio,PDI em escombros podem ajudá-lo a manter-se vivo no início,Os destroços de naves podem ajudá-lo a permanecer vivo no começo,Ruiny POI mogą wesprzeć Cię w przetrwaniu na początku,Обломки структур ТИ помогут вам выжить вначале,序盤は放棄されたステーションを再利用して生き抜こう。,一些残破的兴趣点建筑可以在开局维持你的生存所需,殘骸類有價值地點可以幫助你在初期設法存活,잔해 POI는 초기에 생존할 수 있도록 도움을 줄 수 있습니다.,POI Enkazları oyunun başında hayatta kalmanız için yardımcı olabilir,Τα κατεστραμμένα Σημεία Ενδιαφέροντος μπορούν να σε βοηθήσουν να μείνεις ζωντανός στην αρχή,POI wrakken kunnen je helpen in leven te blijven aan het begin,
Barren,Barren,Unfruchtbarer Planet,Stérile,Arido,Yermo,Seco,Deserto Árido,Jałowy,Бесплодная,不毛,贫瘠,荒原,불모,Çorak,Αγωγός,Kaal,
Current / Mean Temperature:,Current / Mean Temperature:,Aktuelle / Durchschnittstemperatur:,Température actuelle/moyenne:,Temperatura Attuale / Media:,Temperatura Actual/Media:,Temperatura Atual / Média:,Temperatura Atual / Significativa,Bieżąca / Średnia temperatura:,Текущая / средняя температура:,現在/平均気温:,当前/平均温度:,目前/極端溫度：,현재/평균 온도:,Mevcut / Ortalama Sıcaklık:,Τρέχουσα / Μέση Θερμοκρασία:,Huidige / gemiddelde temperatuur:,
Current Target,Current Target,Aktuelles Ziel,Cible actuelle,Bersaglio Attuale,Objetivo actual,Alvo Atual,Destino Atual,Obecny cel,Текущая цель,現在のターゲット,当前目标,目前目標,현재 목표,Mevcut Hedef,Τρέχον Στόχος,Huidig doelwit,Mục tiêu hiện tại
Desert,Desert,Wüstenplanet,Désertique,Deserto,Desierto,Deserto,Deserto,Pustynia,Пустыня,砂漠,沙漠,沙漠,사막,Çöl,Έρημος,Woestijn,Sa mạc
Difficulty,Difficulty,Schwierigkeit,Difficulté,Difficoltà,Dificultad,Dificuldade,Dificuldade,Poziom trudności,Сложность,困難,难度,難度,난이도,Zorluk,Δυσκολία,Moelijkheidsgraad,Cấp độ khó
Difficulty:,Difficulty:,Schwierigkeit,Difficulté,Difficoltà:,Dificultad:,Dificuldade:,Dificuldade:,Poziom trudności:,Сложность:,脅威:,难度:,難度：,난이도:,Zorluk:,Δυσκολία:,Moelijkheidsgraad:,Cấp độ khó:
Distance,Distance,Distanz,Distance,Distanza,Distancia,Distância,Distância,Odległość,Расстояние,距離,距离,距離,거리,Mesafe,Απόσταση,Afstand,Khoản cách
Gravity,Gravity,Gravitation,Gravité,Gravità,Gravedad,Gravidade,Gravidade,Grawitacja,Гравитация,重力,重力,重力,중력,Yerçekimi,Βαρύτητα,Zwaartekracht,Trọng lực
Lava,Lava,Lavaplanet,Lave,Lava,Lava,Lava,Lava,Lawa,Лава,溶岩,岩浆,熔岩,용암,Lav,Λάβα,Lava,Nham thạch
Length of Day:,Length of Day:,Tageslänge:,Durée jour:,Lunghezza del Giorno,Duración del día:,Duração do Dia:,Tamanho do Dia:,Długość dnia:,Длительность дня:,日の長さ:,每日长度:,一日時長：,하루의 길이:,Gün uzunluğu:,Διάρκεια Ημέρας:,Lengte van de dag:,Chiều dài của 1 ngày
Lock Target,Lock Target,Ziel erfassen,Verrouiller cible,Imposta Meta,Fijar objetivo,Bloquear Alvo,Travar Destino,Namierz cel,Фикс. цель,目標選択,锁定目标,鎖定目標,목표물 설정,Kilitlenilen Hedef,Κλείδωμα Στόχου,Doelwit vastzetten,Khoá mục tiêu
Mode,Mode,Modus,Mode,Modalità,Modo,Modo,Modo,Tryb,Режим,モード,模式,模式,모드,Mod,Λειτουργία,Modus,Chế độ
Mode:,Mode:,Modus:,Mode:,Modalità:,Modo:,Modo:,Modo:,Tryb:,Режим:,モード:,模式:,模式：,모드:,Mod:,Λειτουργία:,Modus:,Chế độ:
PvE,PvE,PvE,PvE,PvE,JcE,PvE,PvE,PvE,PvE,PvE,PvE,與電腦對戰,PvE,PvE,PvE,PvE,
PvP,PvP,PvP,PvP,PvP,JcJ,PvP,PvP,PvP,PvP,PvP,PvP,與玩家對戰,PvP,PvP,PvP,PvP,
Resources,RESOURCES,ROHSTOFFE,RESSOURCES,RISORSE,RECURSOS,RECURSOS,RECURSOS,ZASOBY,РЕСУРСЫ,資源,资源,資源,자원,KAYNAKLAR,ΠΟΡΟΙ,BRONNEN,TÀI NGUYÊN
Snow,Snow,Eisplanet,Enneigé,Neve,Nieve,Neve,Neve,Śnieg,Снег,雪,雪,雪,눈,Karlı,Χιόνι,Sneeuw,Tuyết
Space,Space,Weltraum,Espace,Spazio,Espacio,Espaço,Espaço,Przestrzeń kosmiczna,Космос,スペース,太空,太空,우주,Uzay,Διάστημα,Ruimte,Không gian
Temperate,Temperate,Gemäßigter Planet,Tempéré,Temperato,Templado,Temperado,Temperado,Umiarkowany,Умеренная,テンプレート,宜居,氣候溫和,온화,Ilıman,Εύκρατο,Gematigd,Khí hậu ôn hoà
Type,Type,Typ,Type,Tipo,Tipo,Tipo,Tipo,Rodzaj,Тип,タイプ,类型,類型,유형,Tür,Τύπος,Type,Kiểu
mapAtmoDensity,Atmosphere Density:,Atmosphärische Dichte:,Densité de l'atmosphère :,Densità Atmosfera:,Densidad de la atmósfera:,Densidade Atmosférica:,Densidade da Atmosfera:,Gęstość atmosfery:,Плотность атмосферы:,大気密度:,大气密度:,大氣密度：,대기 밀도:,Atmosfer Yoğunluğu:,Ατμοσφαιρική Πυκνότητα:,Atmosferische dichtheid:,Áp suất khí quyển:
mapAtmosphereO2,O2 Content / Breathable:,O2 Gehalt / Atembar:,Teneur en O² / respirable:,O2 Contenuto / Respirabile:,Contenido de O2 / Respirable:,Conteúdo O2 / Respirável:,Quantidade de O2 / Respirável:,Nasycenie O2 / Swobodne oddychanie:,Содержание O2 / Можно дышать:,酸素濃度 / 呼吸の可否:,氧气含量/能否呼吸:,氧氣含量/可呼吸：,O2 함량/호흡 가능:,O2 İçeriği / Solunabilirlik:,Περιέχει O2 / Αναπνεύσιμη:,O2 inhoud / Adembaar:,Tỷ lệ oxy / hỗ trợ thở oxy:
mapDescription,DESCRIPTION,BESCHREIBUNG,DESCRIPTION,DESCRIZIONE,DESCRIPCIÓN,DESCRIÇÃO,DESCRIÇÃO,OPIS,ОПИСАНИЕ,説明,简述,描述,설명,AÇIKLAMA,ΠΕΡΙΓΡΑΦΗ,BESCHRIJVING,MIÊU TẢ
mapDistance,Distance:,Distanz:,Distance:,Distanza:,Distancia:,Distância:,Distância:,Odległość:,Расстояние:,距離:,距离:,距離：,거리:,Mesafe:,Απόσταση:,Afstand:,Khoảng cách:
mapIcon,Icon,Symbol,Icône,Icona,Icono,Ícone,Icone,Ikona,Значок,マップアイコン,图标,圖示,아이콘,Simge,Σίδηρο,Icoon,Biểu tượng
mapLineOrange,15 - 20 AU,15 - 20 AE,15 - 20 UA,15 - 20 UA,15 - 20 UA,15 - 20 AU,15 - 20 AL,16 - 20 AU,15 - 20 а.е.,15 - 20 AU,15 - 20 天文单位,15 - 20 AU,15 - 20 AU,15 - 20 AU,15 - 20 ΑΜ,15 - 20 AU,
mapLineRed,20 - 25 AU,20 - 25 AE,20 - 25 UA,20 - 25 UA,20 - 25 UA,20 - 25 AU,20 - 25 AL,21 - 25 AU,20 - 25 а.е.,20 - 25 AU,20 - 25 天文单位,20 - 25 AU,20 - 25 AU,20 - 25 AU,20 - 25 ΑΜ,20 - 25 AU,
mapLineWormhole,Wormhole,Wurmloch,Trou de ver,Wormhole,Agujero de gusano,Buraco de minhoca,Buraco de Minhoca,Tunel czasoprzestrzenny,Червоточина,ワームホール,虫洞,蟲洞,벌레 구멍,Solucan Deliği,Σκουληκότρυπα,Wormhole,Hố sâu
mapLineYellow,< 15 AU,< 15 AE,< 15 UA,< 15 UA,< 15 UA,< 15 AU,< 15 AL,< 15 AU,< 15 а.е.,< 15 AU,< 15 天文单位,< 15 AU,< 15 AU,< 15 AU,< 15 ΑΜ,< 15 AU,
mapMarkersHeader,MAP MARKERS,KARTENMARKER,MARQUEURS GPS,INDICATORI MAPPA,MARCADORES DEL MAPA,MARCADORES MAPA,MARCAÇÕES DO MAPA,ZNACZNIKI NA MAPIE,МАРКЕРЫ КАРТЫ,マップマーカー,地图标记,地圖標記,지도 마커,HARİTA İŞARETLERİ,ΔΕΙΚΤΕΣ ΧΑΡΤΗ,KAART MARKERINGEN,
mapO2ContentBreathable,O2 Content / Breathable:,O2 verfügbar / atembar:,Teneur en O² / respirable :,O2 Contenuto / Respirabile:,Contenido de O2 / Respirable:,Conteúdo O2 / Respirável:,Quantidade de O2 / Respirável,Nasycenie O2 / Swobodne oddychanie:,Содержание O2 / Можно дышать:,酸素濃度/呼吸の可否:,氧气含量/能否呼吸,氧氣含量/可呼吸：,O2 함량/호흡 가능:,O2 İçeriği / Solunabilirlik:,Περιέχει O2 / Αναπνεύσιμη:,O2 inhoud / Adembaar:,
mapPlanetInfoHeader,PLANET INFO,PLANETEN INFO:,INFO PLANÈTE,INFO PIANETA,INFORMACIÓN DEL PLANETA,INFORMAÇÃO PLANETA,INFO DO PLANETA,INFORMACJE O PLANECIE,ИНФОРМАЦИЯ О ПЛАНЕТЕ,惑星情報,星球信息,星球資訊,행성 정보,GEZEGEN BİLGİSİ,ΠΛΗΡΟΦΟΡΙΕΣ ΠΛΑΝΗΤΗ,PLANEET INFO,THÔNG TIN HÀNH TINH
mapRadiation,Radiation:,Strahlung:,Radiations :,Radiazioni:,Radiación:,Radiação:,Radiação:,Promieniowanie:,Радиация:,放射線濃度:,辐射:,輻射：,방사선:,Radyasyon:,Ακτινοβολία:,Straling:,Chỉ số bức xạ:
